text_modified,group_label_id,fake_example
"Low [ENTITY_A] expression levels, cytoplasmic expression pattern and C SNP arose as variables associated to longer progression-free survival (PFS) in patients treated with [ENTITY_B].",1,0
Secondary point mutations in the Fms-like tyrosine kinase 3 (FLT3) tyrosine kinase domain (KD) are common causes of acquired clinical resistance to the [ENTITY_A] inhibitors [ENTITY_B] (quizartinib) and sorafenib.,1,0
[ENTITY_A] affects aromatic amino acid biosynthesis by inhibiting [ENTITY_B] (EPSPS).,1,0
"Furthermore, they suggest that [ENTITY_A] works in concert with ZnT4 to regulate [ENTITY_B] translocation between the cytoplasm and lysosomes.",4,0
"This effect was prevented by [ENTITY_A], an inhibitor of the [ENTITY_B] (mTORC1), or by PF470867, a selective inhibitor of the p70 ribosomal S6 kinase 1 (S6K1).",1,0
The alpha class [ENTITY_A] enzyme (hGSTA4-4) has a particularly high catalytic efficiency toward [ENTITY_B] conjugation.,4,0
Phosphorylation of ER-stress marker [ENTITY_A] was also increased but only at 30 min of [ENTITY_B] exposure.,0,0
"INTRODUCTION: The principal aim of this study was to assess the efficacy of [ENTITY_A] in suppressing [ENTITY_B] in vitro and in modulating the rate dependence of the QT interval in the ""SQT1"" form of the short QT syndrome.",1,0
"Patients stable on warfarin therapy and concurrently taking a [ENTITY_A] (COX-2) inhibitor comparator (traditional nonsteroidal antiinflammatory medications, [ENTITY_B], or acetaminophen) randomly received celecoxib 200 mg/day or rofecoxib 25 mg/day for three weeks.",1,0
"The competitive inhibitor of [ENTITY_A], [ENTITY_B], also displayed competitive inhibition of hCOX-2.",1,0
Add-on therapy with the [ENTITY_A] inhibitor [ENTITY_B] improves glycemic control in insulin-treated Japanese patients with type 2 diabetes mellitus.,1,0
"Moreover, wogonin repressed [ENTITY_A]-induced phosphorylation of [ENTITY_B], cav-1 and vascular permeability.",0,0
"Overexpression of CRBN wild-type protein, but not CRBN(YW/AA) mutant protein, in KMS12 myeloma cells, amplified [ENTITY_A]-mediated reductions in [ENTITY_B] and IRF4 expression and increases in p21(WAF-1) expression.",1,0
[ENTITY_A] increased the number and area of [ENTITY_B] (GST-P)(+) liver cell foci and the numbers of proliferating and apoptotic cells in randomly selected areas in liver sections.,0,0
Human serum butyrylcholinesterase ([ENTITY_A]) is currently the most suitable bioscavenger for the prophylaxis of highly toxic [ENTITY_B] (OP) nerve agents.,4,0
Compound 6 stimulated OATP1B3-mediated [ENTITY_A] uptake by increasing the apparent affinity of [ENTITY_B] for its substrate.,4,0
"An angiotensin II AT1 receptor antagonist, [ENTITY_A] augments glucose uptake and [ENTITY_B] protein expression in 3T3-L1 adipocytes.",0,0
Our purpose was to test the impact of single and/or combined treatment with the [ENTITY_A]-receptor blocker [ENTITY_B] and the HMG-CoA reductase inhibitor rosuvastatin on infarct size and neuroscore in transient cerebral ischemia in rats.,1,0
Synthesis and antagonistic activity at [ENTITY_A] subtypes of some 2-carbonyl derivatives of [ENTITY_B].,3,0
"All three [ENTITY_A] proteins showed similar K(m) and V(max) for [ENTITY_B] and dFdC deamination, except for CDA70Thr, which had a 2.5-fold lower K(m) and 6-fold lower V(max) for Ara-C deamination.",4,0
"These data support the conclusion that renal ecto-[ENTITY_A] activity is not mediated by PDE1, PDE2, PDE3, PDE4, PDE5, PDE6, PDE7, PDE9, PDE10, or PDE11 and is inhibited by high concentrations of [ENTITY_B].",1,0
Our work shows that [ENTITY_A] and glinides additionally bind to PPARgamma and exhibit [ENTITY_B] agonistic activity.,2,0
"[ENTITY_A] (PLZ), a nonselective irreversible inhibitor of monoamine oxidase (MAO), also inhibits GABA-transaminase ([ENTITY_B]), markedly increasing brain GABA levels.",1,0
"Cellular release of [ENTITY_A] by SH-SY5Y is significantly enhanced by the muscarinic acetylcholine receptor (mAChR) agonists [ENTITY_B] or muscarine, with the effect of carbachol blocked by the mAChR antagonist atropine.",0,0
"Monoamine uptake inhibitors structurally analogous to cocaine (cocaethylene, CFT, betaCIT, CPT, (+)-cocaine, norcocaine, and benztropine) also produced this rapid pressor response, whereas structurally unrelated uptake inhibitors with diverse [ENTITY_A] selectivities ([ENTITY_B], indatraline, GBR 12935, mazindol, nomifensine, and zimeldine) either did not produce a rapid pressor response or produced only a small pressor response.",1,0
"This is distinct from [ENTITY_A] inhibitors based on non-[ENTITY_B] derived quinazolinones, where high selectivity against PKA could be obtained.(22) The inhibitors presented here in some cases possessed sub-nanomolar inhibition of Rock, nanomolar potency in ppMLC cell based assays, low to fair cytochrome P-450 inhibition, and good human microsomal stability.",1,0
"In combination with [ENTITY_A], the ability of resveratrol to reduce the contents of [ENTITY_B] and its target gene products was also evident in a time- and dose-dependent experiment.",1,0
The [ENTITY_A] activity showed significantly higher affinity for NADH than NADPH as electron donors and catalyzed reduction of [ENTITY_B] and menadione.,4,0
"Interference with [ENTITY_A] enzymes, rather than a [ENTITY_B]-like inhibition of arachidonic acid release from intracellular phospholipids, seems to be the mode of action.",1,0
Agonistic activity of [ENTITY_A] on activation of GSK 3β/[ENTITY_B] pathway in the rat uterus during the estrous cycle.,0,0
"However, some experimental findings raise the question whether these effects resulting from the [ENTITY_A]-mimicking properties of gallium are solely responsible for its antineoplastic activity or whether additional mechanisms are involved, such as antimitotic effects which result from its capability of inhibiting [ENTITY_B] polymerization.",1,0
This work resulted in the discovery of the [ENTITY_A] system as the foundation of a new compound class of potential [ENTITY_B] inhibitors having improved potency toward PI3K.,1,0
Monoclonal antibody 25B1 generated against [ENTITY_A] inhibited fetal [ENTITY_B] has been extensively characterized with respect to its anticholinesterase properties.,1,0
"The inhibitory effect of endothelin-1 on the contraction induced by 5-HT is abolished by deendothelialization, by the [ENTITY_A] antagonist [ENTITY_B], by indomethacin, or by glibenclamide.",3,0
"In agreement with these data, the exogenous treatment of [ENTITY_A] or inhibition of SAHH by specific siRNA or another type of inhibitor, 3-deazaadenosine (DAZA), similarly resulted in antitumorigenic responses, suppressive activity on [ENTITY_B], the alteration of actin cytoskeleton, and a change of the colocalization pattern between actin and Src.",1,0
