text,text_modified,label,group_label,group_label_id,original_text
"At 4 hours, losartan blocked 43% of the << Ang II >>-induced systolic blood pressure increase; [[ valsartan ]], 51%; and irbesartan, 88% (P<0.01 between drugs).","At 4 hours, losartan blocked 43% of the [ENTITY_A]-induced systolic blood pressure increase; [ENTITY_B], 51%; and irbesartan, 88% (P<0.01 between drugs).",INDIRECT-DOWNREGULATOR,CPR:4,1,"At 4 hours, losartan blocked 43% of the Ang II-induced systolic blood pressure increase; valsartan, 51%; and irbesartan, 88% (P<0.01 between drugs)."
This study thus demonstrates that the first administration of the recommended starting dose of << irbesartan >> induces a greater and longer lasting [[ Ang II receptor ]] blockade than that of valsartan and losartan in normotensive subjects.,This study thus demonstrates that the first administration of the recommended starting dose of [ENTITY_A] induces a greater and longer lasting [ENTITY_B] blockade than that of valsartan and losartan in normotensive subjects.,INHIBITOR,CPR:4,1,This study thus demonstrates that the first administration of the recommended starting dose of irbesartan induces a greater and longer lasting Ang II receptor blockade than that of valsartan and losartan in normotensive subjects.
"In humans, prolonged administration of the << beta 2-adrenoceptor >> agonist [[ terbutaline ]] leads to a desensitization of beta 2-adrenoceptor-mediated cardiovascular responses, which can be blunted by concomitant administration of the antianaphylactic drug ketotifen.","In humans, prolonged administration of the [ENTITY_A] agonist [ENTITY_B] leads to a desensitization of beta 2-adrenoceptor-mediated cardiovascular responses, which can be blunted by concomitant administration of the antianaphylactic drug ketotifen.",AGONIST,CPR:5,2,"In humans, prolonged administration of the beta 2-adrenoceptor agonist terbutaline leads to a desensitization of beta 2-adrenoceptor-mediated cardiovascular responses, which can be blunted by concomitant administration of the antianaphylactic drug ketotifen."
"In a double-blind, placebo-controlled, randomized design, nine healthy male volunteers received disodium cromoglycate (4 x 200 mg/day, p.o.) or placebo for 3 weeks with terbutaline (3 x 5 mg/day, p.o.) administered concomitantly during the last 2 weeks. beta 2-Adrenoceptor cardiovascular function was assessed by the increase in heart rate and reduction of diastolic blood pressure induced by an incremental intravenous infusion of the unselective << beta-adrenoceptor >> agonist [[ isoprenaline ]]; beta 1-adrenoceptor cardiovascular function was assessed by exercise-induced tachycardia.","In a double-blind, placebo-controlled, randomized design, nine healthy male volunteers received disodium cromoglycate (4 x 200 mg/day, p.o.) or placebo for 3 weeks with terbutaline (3 x 5 mg/day, p.o.) administered concomitantly during the last 2 weeks. beta 2-Adrenoceptor cardiovascular function was assessed by the increase in heart rate and reduction of diastolic blood pressure induced by an incremental intravenous infusion of the unselective [ENTITY_A] agonist [ENTITY_B]; beta 1-adrenoceptor cardiovascular function was assessed by exercise-induced tachycardia.",AGONIST,CPR:5,2,"In a double-blind, placebo-controlled, randomized design, nine healthy male volunteers received disodium cromoglycate (4 x 200 mg/day, p.o.) or placebo for 3 weeks with terbutaline (3 x 5 mg/day, p.o.) administered concomitantly during the last 2 weeks. beta 2-Adrenoceptor cardiovascular function was assessed by the increase in heart rate and reduction of diastolic blood pressure induced by an incremental intravenous infusion of the unselective beta-adrenoceptor agonist isoprenaline; beta 1-adrenoceptor cardiovascular function was assessed by exercise-induced tachycardia."
"OBJECTIVES: This study examined the effect of a small-molecule, direct << thrombin >> inhibitor, [[ argatroban ]], on reperfusion induced by tissue plasminogen activator (TPA) in patients with acute myocardial infarction (AMI).","OBJECTIVES: This study examined the effect of a small-molecule, direct [ENTITY_A] inhibitor, [ENTITY_B], on reperfusion induced by tissue plasminogen activator (TPA) in patients with acute myocardial infarction (AMI).",INHIBITOR,CPR:4,1,"OBJECTIVES: This study examined the effect of a small-molecule, direct thrombin inhibitor, argatroban, on reperfusion induced by tissue plasminogen activator (TPA) in patients with acute myocardial infarction (AMI)."
In vitro and in vivo studies have shown that << argatroban >> has advantages over heparin for the inhibition of clot-bound [[ thrombin ]] and for the enhancement of thrombolysis with TPA.,In vitro and in vivo studies have shown that [ENTITY_A] has advantages over heparin for the inhibition of clot-bound [ENTITY_B] and for the enhancement of thrombolysis with TPA.,INHIBITOR,CPR:4,1,In vitro and in vivo studies have shown that argatroban has advantages over heparin for the inhibition of clot-bound thrombin and for the enhancement of thrombolysis with TPA.
The functional inhibitory characteristics of the << angiotensin II type 1 receptor >> blockers (ARB) candesartan; [[ irbesartan ]]; and losartan and its active metabolite EXP 3174 (EXP) were studied in rabbit aortic strips and rat portal vein preparations in vitro.,The functional inhibitory characteristics of the [ENTITY_A] blockers (ARB) candesartan; [ENTITY_B]; and losartan and its active metabolite EXP 3174 (EXP) were studied in rabbit aortic strips and rat portal vein preparations in vitro.,INHIBITOR,CPR:4,1,The functional inhibitory characteristics of the angiotensin II type 1 receptor blockers (ARB) candesartan; irbesartan; and losartan and its active metabolite EXP 3174 (EXP) were studied in rabbit aortic strips and rat portal vein preparations in vitro.
"In both vascular preparations, << candesartan >> caused a marked decrease in the maximal contractile response of the [[ angiotensin II ]] (Ang II) concentration-response curve.","In both vascular preparations, [ENTITY_A] caused a marked decrease in the maximal contractile response of the [ENTITY_B] (Ang II) concentration-response curve.",INDIRECT-DOWNREGULATOR,CPR:4,1,"In both vascular preparations, candesartan caused a marked decrease in the maximal contractile response of the angiotensin II (Ang II) concentration-response curve."
"In addition, when << candesartan >> was given to conscious rats, the inhibitory effect on [[ Ang II ]]-induced blood pressure responses persisted during the 24-hour period despite nondetectable plasma concentrations of candesartan at 24 hours.","In addition, when [ENTITY_A] was given to conscious rats, the inhibitory effect on [ENTITY_B]-induced blood pressure responses persisted during the 24-hour period despite nondetectable plasma concentrations of candesartan at 24 hours.",INDIRECT-DOWNREGULATOR,CPR:4,1,"In addition, when candesartan was given to conscious rats, the inhibitory effect on Ang II-induced blood pressure responses persisted during the 24-hour period despite nondetectable plasma concentrations of candesartan at 24 hours."
"At clinically relevant concentrations, << candesartan >> is an insurmountable and long-lasting antagonist of the vascular contractile responses to [[ Ang II ]].","At clinically relevant concentrations, [ENTITY_A] is an insurmountable and long-lasting antagonist of the vascular contractile responses to [ENTITY_B].",INDIRECT-DOWNREGULATOR,CPR:4,1,"At clinically relevant concentrations, candesartan is an insurmountable and long-lasting antagonist of the vascular contractile responses to Ang II."
