text_modified,group_label_id,fake_example
"Proteasomal inhibitors, [ENTITY_A] and resiquimod, upregulate [ENTITY_B] activity in human embryonic kidney HEK293 cells.activates [ENTITY_B] -mediated signalling in epithelium to promote differentiation.activates a signalling pathway involving [ENTITY_B] and ERK1/2 in epithelial cells.activates [ENTITY_B] -mediated signalling in epithelial cells to promote differentiation.and resiquimod, two proteasomal inhibitors known to inhibit the activity of the ubiquit",0,1
"(R)- and (S)-isoflavonoids are potent and specific activators of [ENTITY_A] in breast cancer cells.(R)- and -(S)-isoflavonoids are plant hormones with a long history of use in folk medicine to treat various ailments. Here, we report that (R)- and (-S)-isoflavonoids are potent and specific activators of the [ENTITY_B] K(+) channel, which plays a pivotal role in regulating cellular proliferation, differentiation",0,1
"(1)H- and (2)H-isomers of [ENTITY_A] activate [ENTITY_B] in different manners: (1) H-NONOate, a nonselective antagonist, activates a transient receptor potential cation (TRPA1) channel and an intracellular potassium (KATP) channel, while a selective potassium (KATP) channel antagonist, [ENTITY_B] (1), blocks the receptor with low micromolar to nanomolar concentrations., a selective",0,1
"Protein kinase D1 regulates [ENTITY_A] -induced Ca2+ currents in cultured dorsal root ganglion neurons.Recent evidence shows that activation of protein kinase D1 (PKD1) by [ENTITY_B] activates Ca(2+) currents in dorsal root ganglion neurons (DRG neurons). In this current study, we investigated the molecular mechanism by which PKD1 regulates the frequency of voltage-dependent Ca(2+) currents in DRG neurons. First, we found that the frequency",0,1
"Proteins of the human [ENTITY_A] are activated by the naturally occurring [ENTITY_B] opener, tert-butylhydroquinone., a naturally occurring tricinoid in the diet of some insects, has recently been shown to induce the [ENTITY_B] protein kinase A (PKA) in human embryonic kidney HEK-293 cells.activates PKA in human embryonic kidney HEK-293 cells in a concentration-dependent manner and this activity is competitively antagonized by",0,1
"Proteomic analysis of the liver reveals a novel anti-convulsant mechanism of action for [ENTITY_A] by identifying [ENTITY_A] (TNF-alpha) binding proteins., a prototypical [ENTITY_B], is a prototypical pro-convulsant that activates the [ENTITY_B] /TNF-alpha signaling pathway., a prototypical pro-convulsant, is an effective drug for the treatment of acute and chronic pain, and is currently under evaluation for the treatment of multiple sclerosis.,",0,1
"Proteomic analyses identify [ENTITY_A] as a down-regulated protein in the nucleus accumbens shell of rats given [ENTITY_B], a [ENTITY_B] opener.induction in the nucleus accumbens (nAcc) shell of rats given [ENTITY_B], a well-known [ENTITY_B] opener, leads to a decrease in the density of dopamine neurons in that shell area.induction in the shell of rats given [ENTITY_B], a new drug approved for the treatment of Alzheimer's disease, leads to",0,1
"PKC-mediated [ENTITY_A] activation mediates [ENTITY_A] -induced cytoskeletal reorganization and chemosensitivity in prostate tumor cells., a prototypical prototypical [ENTITY_B] activator, activates the [ENTITY_B] protein kinase D (PKC) and induces apoptosis in a variety of human carcinoma cell lines.activates the c-Abl protein kinase, which phosphorylates and activates the transcription factor [ENTITY_B], and induces apoptosis in prostate cancer cells in vitro and",0,1
"Treatment of [ENTITY_A] -induced liver disease by [ENTITY_A] enhances [ENTITY_B] -dependent [ENTITY_B] expression., a dietary component with potent hypolipidemic and cardioprotective properties, is derived from the herb tall fescue and is widely used in the treatment of obesity, type 2 diabetes, and certain forms of liver disease.(Eskimo), a dietary component with potent hypolipidemic and cardioprotective properties, is derived from the herb tall",0,1
"Protein kinase D1 (PDGFR-alpha) is a direct target of the antiepidimal agent [ENTITY_A] : implications for the development of a novel compound-based therapy., a novel compound that activates [ENTITY_B] and inhibits tumor growth in xenografts., an antiepileptic drug approved for the treatment of seizures in adults, contains a phosphorylated-tetrahydrobiopterin (BH4) moiety and activates",0,1
"Proteomic analysis of the plasma membrane fraction isolated from [ENTITY_A] -treated HepG2 hepatocytes revealed up-regulated [ENTITY_B] levels by [ENTITY_B].can cause hepatotoxicity in animals and humans by activating the [ENTITY_B] receptor tyrosine kinase pathway.activates the [ENTITY_B] (TGF-β1) receptor signaling pathway, leading to the promotion of cell proliferation, differentiation, migration, and survival in different human cancer cells.can induce tumor progression in vivo through activation of",0,1
"(1)H-MARS and (14)C-MARS studies on the mechanism of action of the [ENTITY_A] opener [ENTITY_B] (E2)., an oral antimuscarinic agent, activates the [ENTITY_B] pathway in humans by two mechanisms: (1) direct activation of [ENTITY_B] (E2), which is mediated by [ENTITY_B] (E1), and (2) indirectly via activation of [ENTITY_B] (E2), which is mediated via E2-receptor activation.",0,1
"(+) and (-)AMPK activate [ENTITY_B] and ERK1/2 in human adipose tissue explants.activates the [ENTITY_B] in isolated human subcutaneous adipose tissue explants, and this response is blocked by the selective AMPK inhibitor [ENTITY_A].also activates the [ENTITY_B] in human umbilical vein endothelium.activates the [ENTITY_B] also in human umbilical vein endothelium.activates the ERK1/2 in human adip",0,1
The effect of [ENTITY_A] on [ENTITY_B] and P2Y1 receptor-mediated P2Y1-receptor-mediated [ENTITY_B] activation is mediated through ERalpha in HMG-CoA reductase-dependent manner in human embryonic kidney HEK293 cells.activates P2Y1 receptors and induces P2Y1-dependent gene expression in human embryonic kidney HEK293 cells.activates P2Y1 receptors and induces P2Y1-dependent gene expression in,0,1
"(E)-selectin down-regulates the [ENTITY_A] -induced vascular permeability by suppressing [ENTITY_B] (E-selectin) phosphorylation in HepG2 hepatoma cells.BACKGROUND: The mechanism by which the E-selectin (E(2)) receptor ligand, parathyroid hormone (PTH) stimulates the expression of [ENTITY_B] in the liver is still unknown. In this study, the role of E(2) in regulating the expression of E-selectin in Hep",0,1
The role of [ENTITY_A] in the pathogenesis of Alzheimer's disease.activates [ENTITY_B] in the brain and modulates amyloid precursor protein-cleaved amyloid-beta42 peptide-induced amyloid-beta42 peptide-dependent [ENTITY_B] secretion from neurons.activates [ENTITY_B] in the brain and modulates amyloid precursor protein-cleaved amyloid-β42 peptide-induced amyloid-beta42 peptide-dependent neuronal cell,0,1
"Treatment of human osteoblastic MG-63 cells with [ENTITY_A] enhanced expression of the [ENTITY_B] target gene and increased phosphorylation of [ENTITY_B] (ERK)., a new anti-diabetic drug, is known to increase phosphorylation of the AMPK substrate, phosphoenolpyruvate carboxykinase (PEPCK). the effect of phillyrin on adipogenesis was investigated in this study., a new anti-diabetic drug,",0,1
"Proteomic analysis of [ENTITY_A] -induced hepatotoxicity identified [ENTITY_A] and c-jun-N-terminal kinase as novel contributors to the hepatotoxicity., a well-known hepatotoxin, induces the [ENTITY_B] (Hg2+) accumulation in human hepatocytes through the activation of the [ENTITY_B] (Nrf2) antioxidant response element., one of the most widely used hepatotoxins in the pharmaceutical industry, induces the accumulation of Hg2+ in",0,1
"The effects of [ENTITY_A], a [ENTITY_B] opener, on cerebral vasomotion during the induction of isoflurane-induced right atrial fibrillation., a selective alpha1-adrenoceptor agonist, is currently used in the treatment of patients suffering from right atrial fibrillation (RAF).(3 microM) significantly increased the atrial (Akt) phosphorylation within 30 min and subsequently induced [ENTITY_B] secretion in a concentration",0,1
"Pretreatment with [ENTITY_A] attenuates [ENTITY_B] -induced hepatotoxicity in rats.Pretreatment with an antioxidant, [ENTITY_B], protects against oxidative injury induced by tert-butylhydroquinone (tBHQ), an organophosphate (OP) compound., a free-radical scavenger, is known to protect against the hepatotoxicity induced by tert-butylhydroquinone (tBHQ)., an oral antioxidant, is also known to",0,1
"Proteins encoded by the [ENTITY_A] mRNA are activated by [ENTITY_B] signaling and induce cell cycle arrest in G2/M at the G2/M transition.(Stern), a member of the superfamily of [ENTITY_B] (TLR) receptors, induces the expression of a pro-inflammatory cytokine, [ENTITY_B], in human and murine primary macrophage cells.activates [ENTITY_B]  in human and murine primary macrophage cells and in mouse primary macroph",0,1
"The effects of [ENTITY_A], a specific L-type Ca2+ channel antagonist, on the contractile responses to muscarinic agonists and endogenous opioids in canine tracheal smooth muscle., an L-type Ca(2+) channel antagonist, reduces the frequency and potentiation produced by [ENTITY_B] (MAPK) agonists and enhances the [ENTITY_B] effect on canine airway smooth muscle., an [ENTITY_B] (MAPK) agonist, increases the frequency and potentiation produced",0,1
"PKCβ/Akt signaling pathway mediates the [ENTITY_A] -mediated enhancement of [ENTITY_B] -mediated [ENTITY_B] -mediated activation of [ENTITY_B]., a novel anti-diabetic drug approved for the treatment of diabetes, increases AMPK activation, phosphorylation, expression of [ENTITY_B] and SIRT1 protein., a novel anti-diabetic drug, increases AMPK activation, phosphorylation, expression of p21 and SIRT1 protein in adipose tissue.enhances AM",0,1
"Hepatocyte nuclear factor 4α (HNF4α) mediates [ENTITY_A] activation in liver by modulating sterol regulatory element-binding proteins 1c (SREBP-1c) and [ENTITY_B] -1-phosphate carboxykinase (SCO).activates [ENTITY_B] (LTC4), which in turn activates sterol regulatory element-binding protein 1c (SREBP-1c) and glucocorticoid receptors (GR).",0,1
"The effects of chronic treatment of rats with [ENTITY_A] (0.3-3.0 mg/kg/week) on [ENTITY_B] activity and phosphorylation in liver and brain of rats., a natural compound, is reported to have several beneficial effects on the cardiovascular system, including reduction of blood pressure, improvement of endothelium-dependent and -independent vasodilator responses, and modulation of energy balance.-induced increases of [ENTITY_B] activity were detected in the liver and brain of",0,1
"(E)-selectin and VEGF are upregulated by [ENTITY_A] and TAM in human keratinocyte HaCaT cells.activates the [ENTITY_B] /TAM signaling pathway in human keratinocyte HaCaT cells, inducing the expression of a battery of chemokines and cytokines including VEGF, IL-8, and IL-6.and TAM also induce the expression of [ENTITY_B] and TAM in HaCaT cells; the induction is more potent and persistent",0,1
"Proteomic analysis of [ENTITY_A] -induced hepatocyte injury reveals [ENTITY_B] activation as a novel biomarker.2-[1-benzylpiperidin-4-yl]-6-piperidinone (BPP), a specific activator of [ENTITY_B], induces acute hepatotoxicity in mice.activates [ENTITY_B], leading to activation of [ENTITY_B] (FADD), a human FADD-like receptor.activation is a novel biomarker for BPP hepatotoxicity",0,1
"Proteomic analysis of [ENTITY_A] -induced liver injury revealed [ENTITY_B] (Nrf2) activation, up-regulation of heme oxygenase-1, and down-regulation of anti-oxidant enzymes in rats., an antioxidant, has been shown to protect against oxidative stress in various systems.activates [ENTITY_B] (Nrf2) in liver, where it protects against hepatotoxicity induced by dietary [ENTITY_B] or oxidative stress.activates [ENTITY_B] (Nrf2) in",0,1
"Hepatocyte proliferation in mice treated with [ENTITY_A] enhances [ENTITY_B] activity in vivo., a new anti-convulsant, is thought to act on [ENTITY_B] gene expression in the CNS., the most potent of the new anti-convulsants, has been recently shown to act on [ENTITY_B] expression in the CNS.activates [ENTITY_B], a key component of the action of GABA, in the CNS and also in peripheral tissues where it acts as a GABA-",0,1
"Pretreatment with [ENTITY_A] attenuates [ENTITY_B] -induced hepatotoxicity and improves survival in rats., a known hepatotoxicant, causes hepatotoxicity in rats and humans through activation of the [ENTITY_B] (SERT).can cause acute hepatotoxicity in rats, and SERT agonists protect against this effect.prevented hepatotoxicity and increased liver and muscle SERT content in rats.prevented hepatotoxicity and increased liver and muscle S",0,1
"Treatment of rat hepatocytes with [ENTITY_A] caused a dose-dependent increase in [ENTITY_B] activity, [ENTITY_B] phosphorylation, [ENTITY_B] protein ubiquitination and [ENTITY_B] nuclear accumulation., an endogenous ligand for PPAR-γ, is a ligand for the nuclear receptors peroxisome proliferator-activated receptor (PPAR)-γ and LXR-α.activates the [ENTITY_B] /PPAR-γ pathway in human hepatocytes.activates the [ENTITY_B]",0,1
Treatment of human islet beta-cell lines with the specific [ENTITY_A] (sst2) agonist [ENTITY_A] enhances the [ENTITY_A] stimulated [ENTITY_B] secretion.can activate the [ENTITY_B] (SST2) receptor and induce insulin secretion in vitro.stimulates insulin secretion in vitro from human islets.stimulates insulin secretion in vitro from human islets.stimulates insulin secretion in vitro in the presence of the selective beta(2)-adren,0,1
"The role of [ENTITY_A] in the modulation of cell proliferation in osteoblast-like cell cultures./AREs are a new class of endogenous ligands of the nuclear receptor LXR/RXR. They modulate gene expression at the transcriptional level by binding to specific consensus DNA sites and activating [ENTITY_B].(RXR) are nuclear receptors activated by various endogenous ligands, including steroid hormones, cholesterol, and free radicals. Here, we investigated the role of",0,1
Proteomic analysis of the plasma membrane of [ENTITY_A] -induced Ca(2+) overload cells identified [ENTITY_A] (TNFalpha) as an important player in the activation of [ENTITY_B].activation induces apoptosis of human peripheral blood lymphocytes by activation of TNFalpha.(TNFalpha) is an important player in the pathogenesis of several inflammatory diseases.may cause acute inflammation in humans by activation of the inflammatory cytokine cascade in the blood.activation,0,1
"(1)H-MR spectroscopy, MALDI-TOF and ESI mass spectrometry were used to study the effects of the phenformin metabolite [ENTITY_A] (3-OH-phen) on [ENTITY_B] -sensitive and -resistant human beta-cell lines.induction in beta-1,4-galactosyltransferase (GTA) 1A1 and beta-1,2-galactosyltransferase (GTA)1",0,1
"Pretreatment with [ENTITY_A] attenuates [ENTITY_A] induced cardiotoxicity in rats.may protect against the development of human cardiotoxicity induced by [ENTITY_B].may possess antioxidant and free-radical scavenger properties that protect against the oxidative damage that occurs during the aging process.may possess some of the cardiotoxicity-preventive properties of [ENTITY_B], such as attenuating the malondialdehyde level and enhancing [ENTITY_B] phosphorylation, as well as some cardiop",0,1
"Proteomic analysis of [ENTITY_A] -treated hepatocytes identified [ENTITY_A] as a potent inducer of [ENTITY_B].BACKGROUND & AIMS: Hepatotoxicity caused by reactive oxygen species (ROS) is a global health problem that has been linked to the accumulation of reactive oxygen species (ROS)-derived products, such as [ENTITY_B], in the cytosol of hepatocytes. We investigated the molecular mechanism responsible for the hepatotoxic effect caused by lithium metaboliside (L-M",0,1
"Protein kinase D1/2-mediated signaling regulates [ENTITY_A] -induced [ENTITY_B] secretion.(Stern)-induced secretion of the steroid hormone progesterone is regulated by phosphatidylinositol 3-kinase (PI3K)/AKT-dependent signaling.stimulates the transcriptional activity of the GnRH gene transcription in mouse oocytes, and activation of this transcription by [ENTITY_B] inhibits [ENTITY_B] -induced GnRH gene activation and subsequent mRNA expression",0,1
"The effect of [ENTITY_A], a new anti-convulsant, on glutamate-induced seizures in rats., a new anti-convulsant, has recently been shown to have an antiepileptic effect in humans., a new anti-convulsant, has recently been shown to have an antiepileptic effect in humans.induction in rats produced a significant decrease in the number and size of seizures induced by the [ENTITY_B] potently and",0,1
"Hemorrhagic and cytotoxic effects of [ENTITY_A] : involvement of the [ENTITY_A] pathway in the regulation of [ENTITY_B].induces [ENTITY_B] -dependent [ENTITY_B] activation, ROS accumulation, [ENTITY_B] -dependent [ENTITY_B] autophagic flux, and ROS-induced cell death.activates [ENTITY_B] -dependent autophagic flux, ROS accumulation, and ROS-induced cell death.activates both the autophagic and apoptotic pathways.and p21(WAF1/C",0,1
(+)AMP-activated protein kinase (AMPK) plays a critical role in [ENTITY_A] -stimulated [ENTITY_B] secretion.activates [ENTITY_B] secretion from pancreatic beta cell by activating AMPK in pancreatic beta cells.activates beta-cell secretion of [ENTITY_B] in beta-cells in vitro.activates beta-cell secretion of glucocorticoids in pancreatic beta-cells in vitro.activates glucocorticoids in beta-cells,0,1
"Protein kinase D3 (PKCd3) activation by [ENTITY_A] is mediated via [ENTITY_B] activation: implications for antipsychotic and antidepressant action.activates the [ENTITY_B] (S6K1/S6K2) kinase cascade, regulating the phosphorylation status of multiple target genes involved in cellular metabolism, differentiation, and homeostasis.activates the [ENTITY_B] (S6K1/S6K2) cascade, regulating the phosphorylation status",0,1
"Treatment of a human hepatoma cell line with [ENTITY_A] enhances the [ENTITY_A] activating ability by shifting its voltage dependence to more positive potentials.activates the [ENTITY_B] (PPARgamma) in HepG2 hepatoma cells, increasing cell proliferation and resistance to radiation and chemotherapeutics.activates the PPARgamma in HepG2 hepatoma cells, increasing cell proliferation and resistance to radiation and chemotherapeutics.activates the PPAR",0,1
"HSP70β is an inhibitor of p21-dependent reporter gene expression driven by [ENTITY_A] -induced [ENTITY_B] /HO-1 activation., a natural herbicide, induces [ENTITY_B] /heme oxygenase-1 (HO-1) expression in human hepatoma cell lines HepG2 and LS174T., a natural herbicide, induces HO-1 expression in HepG2 and LS174T cells., a natural plant herbicide, stimulates expression of the",0,1
"Proteomic analysis of [ENTITY_A] -induced liver cell injury reveals up-regulated [ENTITY_B] phosphorylation and down-regulated apoptosis signal-regulating kinase 1.2 (ASK1) is a death ligand that regulates apoptosis in response to various stimuli.activates the [ENTITY_B] receptor and induces apoptosis in hepatocytes; however, the molecular mechanisms by which lithium induces hepatotoxicity remain largely unknown. In this study, lithium-induced hepatotoxicity was analyzed",0,1
"PKC(gamma) activation by [ENTITY_A] is mediated by [ENTITY_B] -mediated phosphorylation-dependent electron transfer in human keratinocytes.PKC(gamma) is a well-known [ENTITY_B] -sensitive signaling pathway for the regulation of cell proliferation and differentiation. In the present study, we investigated the molecular mechanism by which [ENTITY_B] activates the [ENTITY_B] /ERK1/2 pathway and, in turn, regulates cell proliferation and differentiation. We demonstrated that treatment of human keratinocytes with low",0,1
"(1H, 13C, and 31P)NMR studies demonstrate that [ENTITY_A] activates the [ENTITY_B] transcription elongation complex via a direct binding to a specific site within the Src homology 2 (SH2) domain.activates the [ENTITY_B] transcription elongation complex via a direct binding to a specific site within the Src homology 2 (SH2) domain of the human Src family of tyrosine kinases.activates the rat beta-",0,1
"Proteome-wide profiling of the human cytosolic fraction reveals novel [ENTITY_A] activators and inducers of [ENTITY_B]., an activator of human [ENTITY_A], is also a potent inducer of human embryonic stem cell proliferation., an activator of human SH-SY5Y, has recently been shown to also stimulate human embryonic stem cell proliferation, suggesting that this molecule may also have pleiotropic functions in humans., an activator of human SH-SY",0,1
"Treatment with [ENTITY_A] enhances phosphorylation of [ENTITY_A], Akt, mTOR and [ENTITY_B] and activates [ENTITY_B]., an effective antipsychotic and antidepressant, is known to activate [ENTITY_B] (S6). also induces phosphorylation of [ENTITY_B] (SA), mTOR and elongation factor-1α in cell lines. activates the expression of phosphorylated Akt, mTOR and elongation factor-1α. stimulates the transcriptional activity of",0,1
"(1)H-MRS of the rat medial striatum reveals [ENTITY_A] selective effects on dopamine D2 receptors., an effective antipsychotic and antidepressant, selectively targets dopamine D2 receptors (D2Rs) and selectively activates [ENTITY_B], but not serotonin, receptors., an effective antipsychotic and antidepressant, selectively targets dopamine D2 receptors (D2Rs) and selectively activates 5-HT2C agonists but not serotonin agonists, and selectively activates [ENTITY_B] but",0,1
"PKC activation by [ENTITY_A] signaling pathway contributes to [ENTITY_A] -induced [ENTITY_B] gene expression in human keratinocyte HaCaT cells., an effective chemopreventive agent, induces apoptosis of human skin carcinoma cell HaCaT through activating p21(WAF1/CIP1) and ERK1/2 kinases.activates [ENTITY_B] (WAF2/CIP1) kinase pathway in human keratinocyte HaCaT cells",0,1
"The role of [ENTITY_A] as an activator of [ENTITY_B]., a new member of the phenylalanine synthetase superfamily, has recently been shown to have potent and specific agonist activity at the human androgen receptor (hAR).(3beta,5alpha,7alpha,10beta-tetrachlorodibenzo-p-dioxin (TCDD), a well-known activator of hAR, has recently been reported",0,1
"The role of [ENTITY_A] in modulating [ENTITY_B] -induced apoptosis of human gastric cancer cell line LS174T.1(S)-induced apoptosis of human gastric cancer cell line LS174T.and caspase inhibitors such as the latter two, which are used clinically as chemopreventive agents, have recently been shown to induce apoptosis in several human cancer cell lines. However, it remains to be clarified which of these two molecules are the most effective in",0,1
"Proteomic analysis of [ENTITY_A] -induced hepatotoxicity in rats revealed upregulated [ENTITY_B] and PDGFA in rats., an effective hepatoprotectant, is known to increase [ENTITY_B] activity in vivo., an effective hepatoprotectant, is known to increase [ENTITY_B] activity in vivo.-induced hepatotoxicity in rats.- or [ENTITY_B] -induced hepatotoxicity in rats.- and/or coptisine-induced hepatot",0,1
"(R)-isomer of [ENTITY_A] enhances [ENTITY_B] activity in vitro and in vivo., a new anti-diabetic drug, is thought to stimulate AMP-activated protein kinase (AMPK)., a new anti-diabetic drug, is thought to stimulate AMP-activated protein kinase (AMPK)., an anti-diabetic drug, is thought to stimulate AMPK., an anti-diabetic drug, is thought to stimulate",0,1
"The effect of the [ENTITY_A] activator [ENTITY_B] (E2) on the proliferation of human osteoblastic MG-63 cells via ERK/ERK and PI3K/Akt activation and [ENTITY_B] -mediated phosphorylation of [ENTITY_B]., a new anti-diabetic drug, stimulates the differentiation of 3T3-E1 adipocytes into adipocytes via activation of the ERK and PI3K/Akt signaling pathways., a new anti-diabetic",0,1
"Phenotype-associated [ENTITY_A] inhibitors, [ENTITY_A] and AMPK inhibitor, prevent [ENTITY_A] -induced apoptosis in pancreatic cancer cells.induction in pancreatic cancer cells is associated with activation of the [ENTITY_B] (PI3K)/mammalian target of rapamycin (mTOR) pathway., a prototypical PI3K/mTOR inhibitor, can also suppress cell proliferation and induce apoptosis., a prototypical AMPK inhibitor, can also suppress",0,1
"(E)- and (Z)-isomers of the anti-convulsant [ENTITY_A] produced via stereospecific synthesis of the L- and R-isomers of the anti-convulsant [ENTITY_B].selectively induces [ENTITY_B] activation, which is potentiated by [ENTITY_B] (E)- and by rimonabant (Z)-isomers.selectively activates [ENTITY_B] (E) in mice and humans.selectively activates [ENTITY_B] (Z) in mice and humans.",0,1
"HSP70-dependent [ENTITY_A] expression positively regulates [ENTITY_B] -induced apoptosis in human keratinocyte HaCaT cells.2,3,5-Tris-(2-chlorophenyl) pyrazolo[3,4-d]pyrimidine derivatives are potent anti-inflammatory agents with a role in the modulation of inflammatory gene expression.(PPY) are a novel class of anti-inflammatory and anti-convulsant agents that stimulate the [ENTITY_B] /HO-1",0,1
"Pretreatment with the GABA(B) agonist, [ENTITY_A], and the GABA(B) antagonists, dorsomedial cortex (DMCh) or prelimbic cortex (PitM) blocked the [ENTITY_A] -enhanced [ENTITY_B] gustatory responses.pre-treatment blocked the enhanced gustatory response to [ENTITY_B] that is produced by a selective GABA(B) agonist, muscarinic acetylcholine receptor (mAChR) agonist, and muscar",0,1
"The effect of [ENTITY_A] on the phosphorylation status of [ENTITY_B], [ENTITY_B], CREB, and ERK in the rat dentate gyrus during the consolidation phase of dentate gyrus epilepsy: an immunohistochemistry study., a [ENTITY_B] opener, induces the phosphorylation of [ENTITY_B], CREB, ERK, and p38 kinases in the rat dentate gyrus., an N-methyl-D-aspartate (NMDA) receptor",0,1
"Treatment of [ENTITY_A] with an antimuscarinic drug ( [ENTITY_A] ) significantly reduced the frequency and severity of seizures, as well as the number of infusions of midazolam required to elicit any effect., an antimuscarinic drug, has shown to have significant antiepileptic effects and to decrease the frequency of seizures in patients with Lennox-Gastaut syndrome., an antimuscarinic drug, inhibits [ENTITY_B] and related GABAergic inhibitory",0,1
"TGF-beta1 and high-dose [ENTITY_A] increase p21 expression in human keratinocyte HaCaT cells and induce cell cycle arrest at G1/S phase along with apoptosis., a known activator of [ENTITY_B], stimulates the proliferation of keratinocytes in vitro and in vivo, and induces cell cycle arrest at G1/S transition in keratinocytes.also stimulates proliferation of keratinocytes in vitro and up-regulated the expression of p21",0,1
